what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1317803278708
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1317803278708
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1317803278709
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1317803278709
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1317803278710
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1317803278710
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1317803278711
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1317803278711
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1317803278711
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1317803278712
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1317803278712
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1317803278716
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.17,"org.tigris.subversion.clientadapter.javahl",1317803278716
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1317803278716
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1317803278717
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1317803278717
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1317803278717
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1317803278719
os,sysinfo,,,"linux",1317803278722
arch,sysinfo,,,"x86",1317803278722
ws,sysinfo,,,"gtk",1317803278722
locale,sysinfo,,,"fr_FR",1317803278722
processors,sysinfo,,,"2",1317803278722
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1317803278722
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1317803278722
java.specification.name,sysinfo,,,"Java Platform API Specification",1317803278722
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1317803278722
java.specification.version,sysinfo,,,"1.6",1317803278722
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1317803278722
java.version,sysinfo,,,"1.6.0_26",1317803278722
java.vm.info,sysinfo,,,"mixed mode, sharing",1317803278722
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1317803278722
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1317803278722
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1317803278722
java.vm.specification.version,sysinfo,,,"1.0",1317803278722
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1317803278722
java.vm.version,sysinfo,,,"20.1-b02",1317803278722
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1317803278727
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1317803285604
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317803285630
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317803294931
started,bundle,org.eclipse.wst.server.core,1.1.303.v20110816_1717,"org.eclipse.wst.server.core",1317803305900
started,bundle,org.eclipse.pde.core,3.7.1.v20110822-2108,"org.eclipse.pde.core",1317803305927
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1317803306033
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317803306347
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1317803352683
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1317803354133
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1317803354500
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1317803354615
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1317803354698
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1317803354776
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1317803355109
started,bundle,com.soyatec.diagrams,3.7.1.20110624,"com.soyatec.diagrams",1317803364101
started,bundle,org.eclipse.emf.common,2.7.0.v20110912-0920,"org.eclipse.emf.common",1317803364149
started,bundle,org.eclipse.emf.ecore,2.7.0.v20110912-0920,"org.eclipse.emf.ecore",1317803364488
started,bundle,org.eclipse.uml2.uml,3.2.100.v201108110105,"org.eclipse.uml2.uml",1317803364510
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20110520-1406,"org.eclipse.emf.ecore.xmi",1317803364549
started,bundle,com.soyatec.core,3.7.1.20110624,"com.soyatec.core",1317803364584
started,bundle,org.eclipse.draw2d,3.7.1.v20110830-1143,"org.eclipse.draw2d",1317803364815
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317803364946
started,bundle,org.eclipse.gef,3.7.1.v20110830-1143,"org.eclipse.gef",1317803368374
started,bundle,org.eclipse.emf.edit,2.7.1.v20110913-1526,"org.eclipse.emf.edit",1317803368412
started,bundle,org.eclipse.emf.ecore.edit,2.7.0.v20110913-1156,"org.eclipse.emf.ecore.edit",1317803368413
started,bundle,org.eclipse.emf.common.ui,2.7.0.v20110913-1156,"org.eclipse.emf.common.ui",1317803369002
started,bundle,org.eclipse.emf.edit.ui,2.7.0.v20110913-1156,"org.eclipse.emf.edit.ui",1317803369003
started,bundle,org.eclipse.uml2.uml.edit,3.1.100.v201009281840,"org.eclipse.uml2.uml.edit",1317803369034
started,bundle,org.eclipse.uml2.common.edit,1.5.0.v201005031530,"org.eclipse.uml2.common.edit",1317803369702
started,bundle,com.soyatec.additional,3.7.1.20110624,"com.soyatec.additional",1317803369808
started,bundle,org.eclipse.emf.ecore.change,2.7.1.v20110829-1916,"org.eclipse.emf.ecore.change",1317803369862
started,bundle,org.eclipse.uml2.common,1.6.0.v201105021727,"org.eclipse.uml2.common",1317803369877
started,bundle,com.soyatec.model,3.7.1.20110624,"com.soyatec.model",1317803378963
opened,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1317803379051
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1317803379359
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317803379573
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317803379961
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317803385474
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1317803392751
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1317803392833
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1317803408336
